year,net_productivity_per_hour_worked,average_compensation_of_production_and_nonsupervisory_workers,average_compensation,median_compensation,men_median_compensation,women_median_compensation
2021,91.08,31.55,49.39,26.01,24.22,28.13
2020,89.54,31.62,49.59,26.8,24.62,29.41
2019,88.1,30.57,47.05,25.13,23.2,27.31
2018,87,30.14,46.4,24.95,22.48,26.68
2017,86.1,29.95,46.03,24.52,22.41,27.06
2016,85.54,29.91,45.58,24.34,22.15,26.71
2015,85.46,29.66,45.59,23.97,21.78,26.48
2014,84.23,29.19,44.41,23.66,21.34,25.69
2013,83.9,29.12,44,23.72,21.69,26.02
2012,83.22,28.84,43.96,23.51,21.76,26.18
2011,83,29.12,43.93,23.9,22.22,26.16
2010,83.81,29.47,44.42,24.54,22.41,26.86
2009,81.42,29.23,44.33,24.67,22.5,27.47
2008,78.6,28.15,43.51,24.02,21.88,26.6
2007,79.41,28.14,43.69,24.17,21.65,26.59
2006,78.73,27.91,43.02,24.2,21.64,26.54
2005,78.38,27.91,42.76,24.24,21.62,26.35
2004,77.24,28.02,42.65,24.57,21.71,26.91
2003,75.15,28.14,41.94,24.25,21.97,27.35
2002,72.79,27.86,41.23,24.09,21.63,27.09
2001,70.75,27.32,40.87,23.57,20.86,26.53
2000,69.94,26.93,40.22,23.1,20.33,26.22
1999,69.13,26.8,39.06,22.96,20.03,25.91
1998,67.65,26.44,38.22,22.42,20.14,25.36
1997,66.28,25.82,36.95,21.69,19.38,24.76
1996,65.27,25.54,36.51,21.39,19.13,24.5
1995,64.46,25.53,36.1,21.87,19.25,24.8
1994,64.4,25.68,36.27,22.39,19.46,24.89
1993,63.81,25.61,36.29,22.7,19.66,25.28
1992,63.54,25.57,36.42,22.33,19.31,25.2
1991,61.15,25.4,35.37,21.96,19.21,25.01
1990,60.77,25.44,34.81,22.06,18.85,25.13
1989,60.56,25.66,34.66,22.07,18.87,26.1
1988,60.14,25.66,34.97,22.02,18.92,26.91
1987,59.3,25.74,34.39,22.32,18.53,26.84
1986,59.65,26.1,34.25,22.17,18.37,26.86
1985,58.28,25.94,33.17,21.98,18.02,26.54
1984,57.36,26.06,32.51,21.62,17.88,26.39
1983,56.02,26.25,32.34,21.54,17.59,26.23
1982,54.36,26.14,32.23,21.41,17.21,26.63
1981,54.83,26.08,31.62,21.41,17.33,26.5
1980,53.87,26.17,31.53,21.54,17.17,26.95
1979,55.34,26.89,31.71,21.61,17.18,27.13
1978,56.04,27.21,31.82,21.91,17,27.21
1977,55.41,26.81,31.45,21.65,16.89,26.75
1976,54.93,26.32,31.06,21.45,16.88,26.28
1975,53.58,25.96,30.48,21.42,16.67,26.6
1974,52.13,25.99,30.03,21.13,16.22,25.84
1973,53.6,26.53,30.21,21.46,16.39,26.06
1972,52.74,26.57,30.12,,,
1971,50.69,25.21,28.99,,,
1970,48.53,24.53,28.18,,,
1969,47.64,24.19,27.22,,,
1968,47.26,23.7,26.54,,,
1967,45.68,23.1,25.53,,,
1966,45.2,22.81,24.97,,,
1965,43.85,22.46,24.35,,,
1964,42.41,21.92,23.81,,,
1963,40.97,20,22.99,,,
1962,39.63,19.66,22.45,,,
1961,38.07,19.08,21.82,,,
1960,36.87,18.76,21.35,,,
1959,36.31,18.38,20.89,,,
1958,34.81,17.82,20.1,,,
1957,34.22,17.7,19.83,,,
1956,33.28,17.3,19.37,,,
1955,32.71,16.64,18.56,,,
1954,30.89,15.97,17.73,,,
1953,30.27,15.63,17.23,,,
1952,29.12,14.89,16.42,,,
1951,28.23,14.46,15.77,,,
1950,27.86,14.3,15.7,,,
1949,25.98,13.77,15.16,,,
1948,25.34,12.97,14.42,,,
